ticker,date,pos,neg,unc,ceo_ratio,analyst_ratio,net_sentiment,sector,Adj Close,returns_market,rolling_corr_net_sent,recommendation_mean
BLK,2020-04-16 18:21:12,0.026,0.0273,0.0219,0.1666666666666666,0.0833333333333333,-0.0013000000000000025,Financial Services,410.1946105957031,0.03593103687461707,-0.8159720833436103,1.9
BLK,2020-05-29 19:58:08,0.03,0.0357,0.0243,0.3333333333333333,0.0,-0.005700000000000004,Financial Services,472.4400634765625,-0.015274742127609708,0.04249742067455971,1.9
BLK,2020-07-17 20:32:09,0.028,0.0145,0.0124,0.1111111111111111,0.0,0.0135,Financial Services,528.74365234375,0.03661660105348452,0.4982651246388747,1.9
BLK,2020-10-13 15:52:01,0.0373,0.0145,0.0114,0.2,0.0,0.0228,Financial Services,578.29443359375,0.03914516746042063,0.6932101566254099,1.9
BLK,2021-01-14 19:14:08,0.0361,0.0151,0.0191,0.2222222222222222,0.0,0.020999999999999998,Financial Services,676.3264770507812,-0.04648928500806371,0.19435351703815,1.9
CHTR,2008-02-06 19:32:11,0.0357,0.0069,0.015,0.0909090909090909,0.0,0.028800000000000003,Communication Services,,,,3.0
CHTR,2008-04-30 16:49:12,0.0428,0.0104,0.0116,0.1875,0.0,0.0324,Communication Services,,,,3.0
CHTR,2008-08-06 18:58:18,0.0442,0.0227,0.0045,0.2142857142857142,0.0714285714285714,0.021500000000000002,Communication Services,,,,3.0
CHTR,2008-11-05 16:54:19,0.0363,0.0231,0.0143,0.2142857142857142,0.0,0.0132,Communication Services,,,,3.0
CHTR,2009-02-04 20:04:16,0.0372,0.0221,0.0093,0.3333333333333333,0.0,0.015099999999999995,Communication Services,,,,3.0
CHTR,2009-04-29 16:53:26,0.0295,0.017,0.0045,0.1875,0.0,0.012499999999999997,Communication Services,,,,3.0
CHTR,2010-01-28 19:35:16,0.0264,0.0172,0.0057,0.25,0.0,0.0092,Communication Services,30.75,0.0,,3.0
CHTR,2010-11-04 20:06:24,0.0336,0.007,0.0081,0.125,0.0625,0.0266,Communication Services,35.75,0.07196406703710223,,3.0
CHTR,2011-01-27 20:06:21,0.0314,0.007,0.0081,0.1538461538461538,0.0769230769230769,0.024399999999999998,Communication Services,42.119998931884766,-0.003312811055581677,,3.0
